100283020,EC,OPEN,NTTX_60DA_RECH,41441917,{00000000-0000-0000-0000-000000000000},ED.NTTX,ED.01254.1106.NETW,ZN-ECUGN,458,20150429,20150429,00000000,20150628,E,,,,,,
100283022,EC,OPEN,NTPR_60DA_RECH,41441919,{00000000-0000-0000-0000-000000000000},ED.NTPR,ED.01254.1106.NETW,ZN-ECUGN,483,20150429,20150429,00000000,20150628,E,,,,,,
100283113,EC,OPEN,NTTX_60DA_RECH,41444099,{00000000-0000-0000-0000-000000000000},ED.NTTX,ED.01254.1106.NETW,ZN-ECUGN,458,20150501,20150501,00000000,20150630,E,,,,,,
100283116,EC,OPEN,NTPR_60DA_RECH,41444100,{00000000-0000-0000-0000-000000000000},ED.NTPR,ED.01254.1106.NETW,ZN-ECUGN,483,20150501,20150501,00000000,20150630,E,,,,,,
100000001,EC,OPEN,test2,42274433,{00000000-0000-0000-0000-000000000000},ED.TXFR,,,,20141009,20141009,00000000,20141031,,,,,,,
100000002,EC,OPEN,test2,42274434,{54EB9CF9-2641-4CDA-88F3-A3E870A68903},ED.TXFR,,,,20141009,20141009,00000000,20141031,,,,,,,
100000003,EC,OPEN,test3,1234,{750069BF-A164-40B4-84FA-DF7F614B0298},ED.CTRL,,,,20141009,20141009,00000000,20141031,,,,,,,
100000004,EC,OPEN,test4,42643788,{00000000-0000-0000-0000-000000000000},ED.CTRL,,,,20141009,20141009,00000000,20141031,,,,,,,
100000005,EC,OPEN,test5,1234,{3FB834C5-B1E2-4CC0-98D2-F9894785861E},ED.CTRL,,,,20141009,20141009,00000000,20141031,,,,,,,
100000006,EC,OPEN,test6,42748459,{00000000-0000-0000-0000-000000000000},ED.CTRL,,,,20141009,20141009,00000000,20141031,,,,,,,
100000007,EC,OPEN,test7,42748459,{762B78C6-15BB-49D8-AF4E-4B3C32E16EAE},ED.RECL,,,,20141009,20141009,00000000,20141031,,,,,,,
